,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,DepDateTime,DepHour,DepDelay_30min,ArrDelay_30min,airport_Origin,lat_Origin,long_Origin,airport_Dest,lat_Dest,long_Dest,YearMon
3323940,2008,9,2,2,2133.0,2125,2330.0,2324,NW,355,N507US,237.0,239.0,217.0,6.0,8.0,MSP,SFO,1589,4.0,16.0,0,,0,,,,,,2008-09-02,"[2100, 2200)","[0, 30)","[0, 30)",Minneapolis-St Paul Intl,44.88054694,-93.2169225,San Francisco International,37.61900194,-122.3748433,2008-09-01
4187636,2008,10,8,3,657.0,700,737.0,800,WN,863,N612SW,220.0,240.0,203.0,-23.0,-3.0,SDF,PHX,1506,7.0,10.0,0,,0,,,,,,2008-10-08,"[600, 700)","[-30, 0)","[-30, 0)",Louisville International-Standiford ,38.17438889,-85.736,Phoenix Sky Harbor International,33.43416667,-112.00805559999999,2008-10-01
1613367,2008,12,31,3,601.0,600,1335.0,1338,US,1626,N710UW,274.0,278.0,239.0,-3.0,1.0,SEA,CLT,2279,17.0,18.0,0,,0,,,,,,2008-12-31,"[600, 700)","[0, 30)","[-30, 0)",Seattle-Tacoma Intl,47.44898194,-122.30931310000001,Charlotte/Douglas International,35.21401111,-80.94312583,2008-12-01
5259789,2008,6,13,5,751.0,735,1001.0,945,OO,2564,N494CA,70.0,70.0,53.0,16.0,16.0,MKE,DAY,284,5.0,12.0,0,,0,16.0,0.0,0.0,0.0,0.0,2008-06-13,"[700, 800)","[0, 30)","[0, 30)",General Mitchell International,42.94722222,-87.89658333,James M Cox Dayton Intl,39.90237583,-84.219375,2008-06-01
1091192,2008,8,26,2,958.0,1000,1225.0,1220,DL,1154,N953DL,87.0,80.0,56.0,5.0,-2.0,MEM,ATL,332,16.0,15.0,0,,0,,,,,,2008-08-26,"[900, 1000)","[-30, 0)","[0, 30)",Memphis International,35.04241667,-89.97666667,William B Hartsfield-Atlanta Intl,33.64044444,-84.42694444,2008-08-01
4144970,2008,6,17,2,728.0,730,823.0,825,WN,538,N442WN,175.0,175.0,161.0,-2.0,-2.0,LIT,PHX,1136,6.0,8.0,0,,0,,,,,,2008-06-17,"[700, 800)","[-30, 0)","[-30, 0)",Adams ,34.72939611,-92.22424556,Phoenix Sky Harbor International,33.43416667,-112.00805559999999,2008-06-01
3497797,2008,5,30,5,1953.0,1940,2122.0,2123,AS,225,N767AS,89.0,103.0,74.0,-1.0,13.0,SFO,PDX,550,5.0,10.0,0,,0,,,,,,2008-05-30,"[1900, 2000)","[0, 30)","[-30, 0)",San Francisco International,37.61900194,-122.3748433,Portland Intl,45.58872222,-122.5975,2008-05-01
6940293,2008,8,8,5,1842.0,1845,1909.0,1918,EV,4695,N972EV,87.0,93.0,65.0,-9.0,-3.0,ATL,MLU,448,4.0,18.0,0,,0,,,,,,2008-08-08,"[1800, 1900)","[-30, 0)","[-30, 0)",William B Hartsfield-Atlanta Intl,33.64044444,-84.42694444,Monroe Regional,32.51086556,-92.03768778,2008-08-01
6246849,2008,1,29,2,2242.0,2110,2307.0,2149,OO,6659,N740SK,25.0,39.0,14.0,78.0,92.0,DEN,COS,72,4.0,7.0,0,,0,0.0,0.0,0.0,0.0,78.0,2008-01-29,"[2200, 2300)","[90, 120)","[60, 90)",Denver Intl,39.85840806,-104.6670019,City of Colorado Springs Muni,38.80580556,-104.70025,2008-01-01
1313191,2008,3,3,1,2110.0,2055,2320.0,2249,OH,5085,N941CA,190.0,174.0,165.0,31.0,15.0,CVG,AUS,958,6.0,19.0,0,,0,15.0,0.0,16.0,0.0,0.0,2008-03-03,"[2100, 2200)","[0, 30)","[30, 60)",Cincinnati Northern Kentucky Intl,39.04614278,-84.6621725,Austin-Bergstrom International,30.19453278,-97.66987194,2008-03-01
4473717,2008,4,12,6,1730.0,1400,1956.0,1630,AA,2082,N081AA,146.0,150.0,128.0,206.0,210.0,MIA,SJU,1045,4.0,14.0,0,,0,52.0,0.0,0.0,0.0,154.0,2008-04-12,"[1700, 1800)","[210, 240)","[180, 210)",Miami International,25.79325,-80.29055556,Luis Munoz Marin International,18.43941667,-66.00183333,2008-04-01
2963672,2008,11,21,5,1645.0,1650,2041.0,2054,DL,1415,N909DA,176.0,184.0,148.0,-13.0,-5.0,SLC,ORD,1249,7.0,21.0,0,,0,,,,,,2008-11-21,"[1600, 1700)","[-30, 0)","[-30, 0)",Salt Lake City Intl,40.78838778,-111.9777731,Chicago O'Hare International,41.979595,-87.90446417,2008-11-01
6883071,2008,10,5,7,2113.0,2116,2155.0,2158,EV,5500,N904EV,102.0,102.0,82.0,-3.0,-3.0,ATL,SHV,552,3.0,17.0,0,,0,,,,,,2008-10-05,"[2100, 2200)","[-30, 0)","[-30, 0)",William B Hartsfield-Atlanta Intl,33.64044444,-84.42694444,Shreveport Regional,32.446627500000005,-93.82559833,2008-10-01
1959608,2008,4,13,7,1318.0,1320,1616.0,1635,AA,368,N297AA,118.0,135.0,99.0,-19.0,-2.0,ORD,LGA,733,4.0,15.0,0,,0,,,,,,2008-04-13,"[1300, 1400)","[-30, 0)","[-30, 0)",Chicago O'Hare International,41.979595,-87.90446417,LaGuardia,40.77724306,-73.87260917,2008-04-01
5219898,2008,4,23,3,1243.0,1245,1342.0,1350,WN,1742,N472WN,59.0,65.0,48.0,-8.0,-2.0,OAK,BUR,325,2.0,9.0,0,,0,,,,,,2008-04-23,"[1200, 1300)","[-30, 0)","[-30, 0)",Metropolitan Oakland International,37.72129083,-122.22071670000001,Burbank-Glendale-Pasadena,34.20061917,-118.3584969,2008-04-01
2896746,2008,12,4,4,1143.0,1145,1713.0,1748,UA,840,N519UA,210.0,243.0,190.0,-35.0,-2.0,LAX,ORD,1745,9.0,11.0,0,,0,,,,,,2008-12-04,"[1100, 1200)","[-30, 0)",,Los Angeles International,33.94253611,-118.40807439999999,Chicago O'Hare International,41.979595,-87.90446417,2008-12-01
1625645,2008,1,20,7,622.0,625,815.0,827,US,1433,N121UW,113.0,122.0,90.0,-12.0,-3.0,BUF,CLT,546,3.0,20.0,0,,0,,,,,,2008-01-20,"[600, 700)","[-30, 0)","[-30, 0)",Buffalo Niagara Intl,42.94052472,-78.73216667,Charlotte/Douglas International,35.21401111,-80.94312583,2008-01-01
2146511,2008,7,27,7,,1420,,1550,WN,789,,,90.0,,,,MHT,PHL,290,,,1,C,0,,,,,,2008-07-27,,,,Manchester,42.93451639,-71.43705583,Philadelphia Intl,39.87195278,-75.24114083,2008-07-01
6271089,2008,9,1,1,1742.0,1745,2012.0,2014,CO,1681,N73275,210.0,209.0,194.0,-2.0,-3.0,SEA,ANC,1449,6.0,10.0,0,,0,,,,,,2008-09-01,"[1700, 1800)","[-30, 0)","[-30, 0)",Seattle-Tacoma Intl,47.44898194,-122.30931310000001,Ted Stevens Anchorage International,61.17432028,-149.9961856,2008-08-01
4282815,2008,9,11,4,817.0,820,916.0,915,YV,2719,N920FJ,119.0,115.0,98.0,1.0,-3.0,COS,PHX,551,10.0,11.0,0,,0,,,,,,2008-09-11,"[800, 900)","[-30, 0)","[0, 30)",City of Colorado Springs Muni,38.80580556,-104.70025,Phoenix Sky Harbor International,33.43416667,-112.00805559999999,2008-09-01
862273,2008,8,1,5,2032.0,2037,2207.0,2227,FL,68,N969AT,95.0,110.0,74.0,-20.0,-5.0,IAD,ATL,533,8.0,13.0,0,,0,,,,,,2008-08-01,"[2000, 2100)","[-30, 0)","[-30, 0)",Washington Dulles International,38.94453194,-77.45580972,William B Hartsfield-Atlanta Intl,33.64044444,-84.42694444,2008-07-01
1267287,2008,2,6,3,1245.0,1209,1435.0,1410,EV,4493,N723EV,110.0,121.0,93.0,25.0,36.0,EYW,ATL,646,10.0,7.0,0,,0,0.0,0.0,0.0,0.0,25.0,2008-02-06,"[1200, 1300)","[30, 60)","[0, 30)",Key West International,24.55611111,-81.75955556,William B Hartsfield-Atlanta Intl,33.64044444,-84.42694444,2008-02-01
755204,2008,5,11,7,807.0,815,1019.0,1022,XE,2870,N13965,132.0,127.0,110.0,-3.0,-8.0,BNA,IAH,657,6.0,16.0,0,,0,,,,,,2008-05-11,"[800, 900)","[-30, 0)","[-30, 0)",Nashville International,36.12447667,-86.67818222,George Bush Intercontinental,29.98047222,-95.33972222,2008-05-01
2633451,2008,1,4,5,2016.0,2020,2204.0,2207,DL,470,N387DA,108.0,107.0,83.0,-3.0,-4.0,ATL,DCA,547,12.0,13.0,0,,0,,,,,,2008-01-04,"[2000, 2100)","[-30, 0)","[-30, 0)",William B Hartsfield-Atlanta Intl,33.64044444,-84.42694444,Ronald Reagan Washington National,38.85208333,-77.03772222,2008-01-01
853167,2008,1,24,4,1218.0,1159,1716.0,1659,CO,1724,N13624,178.0,180.0,151.0,17.0,19.0,PSP,IAH,1269,8.0,19.0,0,,0,0.0,0.0,17.0,0.0,0.0,2008-01-24,"[1200, 1300)","[0, 30)","[0, 30)",Palm Springs International,33.82921556,-116.5062531,George Bush Intercontinental,29.98047222,-95.33972222,2008-01-01
1063045,2008,8,10,7,1527.0,1530,1847.0,1847,CO,320,N62631,140.0,137.0,100.0,0.0,-3.0,IAH,ATL,689,16.0,24.0,0,,0,,,,,,2008-08-10,"[1500, 1600)","[-30, 0)","[0, 30)",George Bush Intercontinental,29.98047222,-95.33972222,William B Hartsfield-Atlanta Intl,33.64044444,-84.42694444,2008-08-01
6342496,2008,4,23,3,1646.0,1623,1736.0,1705,HA,189,N485HA,50.0,42.0,33.0,31.0,23.0,KOA,HNL,163,8.0,9.0,0,,0,8.0,0.0,0.0,0.0,23.0,2008-04-23,"[1600, 1700)","[0, 30)","[30, 60)",Kona International At Keahole,19.73876583,-156.0456314,Honolulu International,21.31869111,-157.92240719999998,2008-04-01
4690987,2008,6,21,6,1823.0,1750,1929.0,1909,NW,796,N781NC,66.0,79.0,51.0,20.0,33.0,MKE,MSP,297,5.0,10.0,0,,0,0.0,0.0,0.0,0.0,20.0,2008-06-21,"[1800, 1900)","[30, 60)","[0, 30)",General Mitchell International,42.94722222,-87.89658333,Minneapolis-St Paul Intl,44.88054694,-93.2169225,2008-06-01
1556217,2008,3,20,4,1921.0,1925,2242.0,2247,XE,2375,N16571,141.0,142.0,108.0,-5.0,-4.0,IAH,CAE,878,7.0,26.0,0,,0,,,,,,2008-03-20,"[1900, 2000)","[-30, 0)","[-30, 0)",George Bush Intercontinental,29.98047222,-95.33972222,Columbia Metropolitan,33.93884,-81.11953944,2008-03-01
6903578,2008,6,4,3,2023.0,2000,2044.0,2017,DL,837,N901DE,81.0,77.0,48.0,27.0,23.0,ATL,MOB,302,3.0,30.0,0,,0,0.0,0.0,4.0,0.0,23.0,2008-06-04,"[2000, 2100)","[0, 30)","[0, 30)",William B Hartsfield-Atlanta Intl,33.64044444,-84.42694444,Mobile Regional,30.69141667,-88.24283333,2008-06-01
4591532,2008,8,15,5,1813.0,1820,2021.0,2022,OO,3614,N271YV,68.0,62.0,46.0,-1.0,-7.0,EKO,SLC,200,6.0,16.0,0,,0,,,,,,2008-08-15,"[1800, 1900)","[-30, 0)","[-30, 0)",Elko Regional,40.82492611,-115.79169640000002,Salt Lake City Intl,40.78838778,-111.9777731,2008-08-01
2258533,2008,7,11,5,1521.0,1525,1821.0,1835,9E,5677,87219E,120.0,130.0,94.0,-14.0,-4.0,MSP,PIT,726,5.0,21.0,0,,0,,,,,,2008-07-11,"[1500, 1600)","[-30, 0)","[-30, 0)",Minneapolis-St Paul Intl,44.88054694,-93.2169225,Pittsburgh International,40.49146583,-80.23287083,2008-07-01
